Gene,Non-unique Gene name,Annotation,gardnerella_leopoldii_UGent06.41,gardnerella_leopoldii_UMB6774,gardnerella_piotii_JNFY15,gardnerella_piotii_UGhent18.01,gardnerella_swidsinskii_GS9838-1,gardnerella_swidsinskii_JNFY3,gardnerella_vaginalis_ATCC14018,gardnerella_vaginalis_NR001
recR,recR;,recombination mediator RecR;recombination protein RecR,GPLCAFGD_01143,IJGDKHFC_00280,NCOBLFIM_00697,CHHPJEJH_00120,MEHEBMPK_00142,JPHLBIEJ_00757,HBKJMDBP_00161,LDEEJEMD_00338
pulA_2~~~pulA_4~~~pulA,pulA_2;pulA_4;pulA,type I pullulanase,GPLCAFGD_00982,IJGDKHFC_00118,NCOBLFIM_00549,CHHPJEJH_01161,MEHEBMPK_01209,JPHLBIEJ_00583,HBKJMDBP_01283,LDEEJEMD_01509
group_268,,FHA domain-containing protein,GPLCAFGD_01060,IJGDKHFC_00196,NCOBLFIM_00636,CHHPJEJH_00062,MEHEBMPK_00056,JPHLBIEJ_00670,HBKJMDBP_00069,LDEEJEMD_00445
malQ_1~~~malQ~~~malQ_2,malQ_1;malQ;malQ_2,4-alpha-glucanotransferase,GPLCAFGD_00983,IJGDKHFC_00119,NCOBLFIM_00551,CHHPJEJH_01158,MEHEBMPK_01208,JPHLBIEJ_00584,HBKJMDBP_01285,LDEEJEMD_01512
dut,dut;,dUTP diphosphatase;deoxyuridine 5'-triphosphate nucleotidohydrolase,GPLCAFGD_00495,IJGDKHFC_00508,NCOBLFIM_01108,CHHPJEJH_00552,MEHEBMPK_01049,JPHLBIEJ_00045,HBKJMDBP_00917,LDEEJEMD_01244
group_267,,bifunctional (p)ppGpp synthetase/guanosine-3'5'-bis(diphosphate) 3'-pyrophosphohydrolase,GPLCAFGD_00496,IJGDKHFC_00507,NCOBLFIM_01109,CHHPJEJH_00553,MEHEBMPK_01050,JPHLBIEJ_00046,HBKJMDBP_00916,LDEEJEMD_01246
group_266,,HAD family hydrolase;hypothetical protein,GPLCAFGD_00660,IJGDKHFC_01215,NCOBLFIM_00007,CHHPJEJH_00663,MEHEBMPK_00602,JPHLBIEJ_00227,HBKJMDBP_00772,LDEEJEMD_01414;LDEEJEMD_01413
secG,secG,preprotein translocase subunit SecG,GPLCAFGD_00661,IJGDKHFC_01214,NCOBLFIM_00006,CHHPJEJH_00662,MEHEBMPK_00603,JPHLBIEJ_00228,HBKJMDBP_00773,LDEEJEMD_01412
group_262,,cell division protein,GPLCAFGD_01228,IJGDKHFC_00366,NCOBLFIM_00804,CHHPJEJH_00228,MEHEBMPK_00246,JPHLBIEJ_00846,HBKJMDBP_01193,LDEEJEMD_01596
group_260,,copper oxidase;polyphenol oxidase family protein,GPLCAFGD_01227,IJGDKHFC_00365,NCOBLFIM_00802,CHHPJEJH_00226,MEHEBMPK_00245,JPHLBIEJ_00845,HBKJMDBP_01195,LDEEJEMD_01595
group_259,,penicillin-binding protein 2,GPLCAFGD_00807,IJGDKHFC_01011,NCOBLFIM_00381,CHHPJEJH_01020,MEHEBMPK_00746,JPHLBIEJ_00399,HBKJMDBP_01073,LDEEJEMD_01041
group_257,,GNAT family N-acetyltransferase,GPLCAFGD_00322,IJGDKHFC_01095,NCOBLFIM_01067,CHHPJEJH_00511,MEHEBMPK_00882,JPHLBIEJ_01152,HBKJMDBP_00508,LDEEJEMD_00737
group_256,,sugar ABC transporter permease,GPLCAFGD_00981,IJGDKHFC_00117,NCOBLFIM_00548,CHHPJEJH_01162,MEHEBMPK_01210,JPHLBIEJ_00582,HBKJMDBP_01282,LDEEJEMD_01508
group_252,,aspartate kinase,GPLCAFGD_01144,IJGDKHFC_00281,NCOBLFIM_00696,CHHPJEJH_00119,MEHEBMPK_00143,JPHLBIEJ_00758,HBKJMDBP_00162,LDEEJEMD_00337
group_251,,ACT domain-containing protein,GPLCAFGD_01145,IJGDKHFC_00282,NCOBLFIM_00695,CHHPJEJH_00118,MEHEBMPK_00144,JPHLBIEJ_00759,HBKJMDBP_00163,LDEEJEMD_00336
group_250,,aspartate-semialdehyde dehydrogenase,GPLCAFGD_01146,IJGDKHFC_00283,NCOBLFIM_00694,CHHPJEJH_00117,MEHEBMPK_00145,JPHLBIEJ_00760,HBKJMDBP_00164,LDEEJEMD_00335
group_249,,sugar ABC transporter permease,GPLCAFGD_00980,IJGDKHFC_00116,NCOBLFIM_00547,CHHPJEJH_01163,MEHEBMPK_01211,JPHLBIEJ_00581,HBKJMDBP_01281,LDEEJEMD_01507
group_248,,ABC transporter ATP-binding protein;ABC transporter;hypothetical protein,GPLCAFGD_00835,IJGDKHFC_01040,NCOBLFIM_00415,CHHPJEJH_01056,MEHEBMPK_00775,JPHLBIEJ_00429,HBKJMDBP_01103,LDEEJEMD_00543;LDEEJEMD_00542
group_246,,glycosyltransferase;N-acetylglucosaminyltransferase;glycosyltransferase family 2 protein,GPLCAFGD_00837,IJGDKHFC_01041,NCOBLFIM_00416,CHHPJEJH_01057,MEHEBMPK_00776,JPHLBIEJ_00430,HBKJMDBP_01104,LDEEJEMD_00544
group_245,,AI-2E family transporter,GPLCAFGD_00838,IJGDKHFC_01042,NCOBLFIM_00417,CHHPJEJH_01058,MEHEBMPK_00777,JPHLBIEJ_00431,HBKJMDBP_01105,LDEEJEMD_00545
group_240,,protein phosphatase 2C domain-containing protein;serine/threonine-protein phosphatase,GPLCAFGD_01059,IJGDKHFC_00195,NCOBLFIM_00635,CHHPJEJH_00061,MEHEBMPK_00055,JPHLBIEJ_00669,HBKJMDBP_00068,LDEEJEMD_00446
group_239,,FtsW/RodA/SpoVE family cell cycle protein;cell division protein FtsW,GPLCAFGD_01058,IJGDKHFC_00194,NCOBLFIM_00634,CHHPJEJH_00060,MEHEBMPK_00054,JPHLBIEJ_00668,HBKJMDBP_00067,LDEEJEMD_00447
group_238,,carbohydrate ABC transporter permease,GPLCAFGD_00985,IJGDKHFC_00121,NCOBLFIM_00553,CHHPJEJH_01156,MEHEBMPK_01206,JPHLBIEJ_00586,HBKJMDBP_01287,LDEEJEMD_01514
group_236,,sugar ABC transporter permease,GPLCAFGD_00986,IJGDKHFC_00122,NCOBLFIM_00554,CHHPJEJH_01155,MEHEBMPK_01205,JPHLBIEJ_00587,HBKJMDBP_01288,LDEEJEMD_01515
group_235,,LacI family transcriptional regulator;LacI family DNA-binding transcriptional regulator,GPLCAFGD_00987,IJGDKHFC_00123,NCOBLFIM_00555,CHHPJEJH_01154,MEHEBMPK_01204,JPHLBIEJ_00588,HBKJMDBP_01289,LDEEJEMD_01516
tpiA,tpiA;,triose-phosphate isomerase,GPLCAFGD_00662,IJGDKHFC_01213,NCOBLFIM_00005,CHHPJEJH_00661,MEHEBMPK_00604,JPHLBIEJ_00229,HBKJMDBP_00774,LDEEJEMD_01411
group_232,,phosphoglycerate kinase,GPLCAFGD_00663,IJGDKHFC_01212,NCOBLFIM_00004,CHHPJEJH_00660,MEHEBMPK_00605,JPHLBIEJ_00230,HBKJMDBP_00775,LDEEJEMD_01410
whiA,whiA,DNA-binding protein WhiA,GPLCAFGD_00664,IJGDKHFC_00862,NCOBLFIM_00003,CHHPJEJH_00659,MEHEBMPK_00606,JPHLBIEJ_00231,HBKJMDBP_00776,LDEEJEMD_01409
topA,topA;,type I DNA topoisomerase;DNA topoisomerase I,GPLCAFGD_00959,IJGDKHFC_00095,NCOBLFIM_00530,CHHPJEJH_01182,MEHEBMPK_01228,JPHLBIEJ_00564,HBKJMDBP_01259,LDEEJEMD_01462
group_231,,carbonate dehydratase;carbonic anhydrase,GPLCAFGD_01041,IJGDKHFC_00177,NCOBLFIM_00617,CHHPJEJH_00043,MEHEBMPK_00038,JPHLBIEJ_00652,HBKJMDBP_00051,LDEEJEMD_00466
group_230,,phosphoenolpyruvate carboxylase,GPLCAFGD_01042,IJGDKHFC_00178,NCOBLFIM_00618,CHHPJEJH_00044,MEHEBMPK_00039,JPHLBIEJ_00653,HBKJMDBP_00052,LDEEJEMD_00464
group_229,,hypothetical protein;threonine/serine exporter family protein,GPLCAFGD_01043,IJGDKHFC_00179,NCOBLFIM_00619,CHHPJEJH_00045,MEHEBMPK_00040,JPHLBIEJ_00654,HBKJMDBP_00053,LDEEJEMD_00463
group_228,,hypothetical protein,GPLCAFGD_00494,IJGDKHFC_00509,NCOBLFIM_01107,CHHPJEJH_00551,MEHEBMPK_01048,JPHLBIEJ_00044,HBKJMDBP_00918,LDEEJEMD_01243
group_226,,aldo/keto reductase,GPLCAFGD_01226,IJGDKHFC_00364,NCOBLFIM_00801,CHHPJEJH_00225,MEHEBMPK_00244,JPHLBIEJ_00844,HBKJMDBP_01196,LDEEJEMD_01594
group_225,,hypothetical protein;polyribonucleotide nucleotidyltransferase,GPLCAFGD_01225,IJGDKHFC_00363,NCOBLFIM_00800,CHHPJEJH_00224,MEHEBMPK_00243,JPHLBIEJ_00843,HBKJMDBP_01197,LDEEJEMD_01593;LDEEJEMD_01592
rpsO,;rpsO,30S ribosomal protein S15,GPLCAFGD_01224,IJGDKHFC_00362,NCOBLFIM_00799,CHHPJEJH_00223,MEHEBMPK_00242,JPHLBIEJ_00842,HBKJMDBP_01198,LDEEJEMD_01589
mraY,mraY;,phospho-N-acetylmuramoyl-pentapeptide- transferase,GPLCAFGD_00804,IJGDKHFC_01008,NCOBLFIM_00378,CHHPJEJH_01017,MEHEBMPK_00743,JPHLBIEJ_00396,HBKJMDBP_01070,LDEEJEMD_01044
group_224,,substrate-binding domain-containing protein;extracellular solute-binding protein,GPLCAFGD_00979,IJGDKHFC_00115,NCOBLFIM_00546,CHHPJEJH_01164,MEHEBMPK_01212,JPHLBIEJ_00580,HBKJMDBP_01280,LDEEJEMD_01506
group_223,,alpha-amylase family glycosyl hydrolase;alpha-amylase,GPLCAFGD_00978,IJGDKHFC_00114,NCOBLFIM_00545,CHHPJEJH_01165,MEHEBMPK_01213,JPHLBIEJ_00579,HBKJMDBP_01279,LDEEJEMD_01505
clpP,clpP;,ATP-dependent Clp protease proteolytic subunit,GPLCAFGD_00634,IJGDKHFC_01201,NCOBLFIM_01122,CHHPJEJH_00566,MEHEBMPK_00578,JPHLBIEJ_00203,HBKJMDBP_00901,LDEEJEMD_01265
group_220,,hypothetical protein,GPLCAFGD_01147,IJGDKHFC_00284,NCOBLFIM_00693,CHHPJEJH_00116,MEHEBMPK_00146,JPHLBIEJ_00761,HBKJMDBP_00165,LDEEJEMD_00334
group_216,,deoxyguanosinetriphosphate triphosphohydrolase,GPLCAFGD_00752,IJGDKHFC_00951,NCOBLFIM_00149,CHHPJEJH_00809,MEHEBMPK_00688,JPHLBIEJ_00323,HBKJMDBP_00634,LDEEJEMD_00866
group_213,,hypothetical protein,GPLCAFGD_00834,IJGDKHFC_01039,NCOBLFIM_00414,CHHPJEJH_01055,MEHEBMPK_00774,JPHLBIEJ_00428,HBKJMDBP_01102,LDEEJEMD_00539
group_208,,serine/threonine-protein kinase;serine/threonine protein kinase,GPLCAFGD_01056,IJGDKHFC_00192,NCOBLFIM_00632,CHHPJEJH_00058,MEHEBMPK_00052,JPHLBIEJ_00666,HBKJMDBP_00065,LDEEJEMD_00449
clpB_2,clpB_2,ATP-dependent chaperone ClpB,GPLCAFGD_01111,IJGDKHFC_00248,NCOBLFIM_00725,CHHPJEJH_00148,MEHEBMPK_00112,JPHLBIEJ_00722,HBKJMDBP_00128,LDEEJEMD_00378
group_205,,ABC transporter ATP-binding protein;macrolide ABC transporter ATP-binding protein,GPLCAFGD_01148,IJGDKHFC_00285,NCOBLFIM_00692,CHHPJEJH_00115,MEHEBMPK_00147,JPHLBIEJ_00762,HBKJMDBP_00166,LDEEJEMD_00333
group_204,,multidrug DMT transporter permease;ABC transporter permease,GPLCAFGD_01149,IJGDKHFC_00286,NCOBLFIM_00691,CHHPJEJH_00114,MEHEBMPK_00148,JPHLBIEJ_00763,HBKJMDBP_00167,LDEEJEMD_00332
group_203,,ABC transporter substrate-binding protein,GPLCAFGD_00988,IJGDKHFC_00124,NCOBLFIM_00556,CHHPJEJH_01153,MEHEBMPK_01203,JPHLBIEJ_00589,HBKJMDBP_01290,LDEEJEMD_01517
dedA,dedA;,Protein DedA;putative membrane protein;VTT domain-containing protein,GPLCAFGD_01222,IJGDKHFC_00360,NCOBLFIM_00797,CHHPJEJH_00221,MEHEBMPK_00240,JPHLBIEJ_00840,HBKJMDBP_01199,LDEEJEMD_01588
group_199,,RNA polymerase sigma factor,GPLCAFGD_00487,IJGDKHFC_00516,NCOBLFIM_01099,CHHPJEJH_00543,MEHEBMPK_01037,JPHLBIEJ_00034,HBKJMDBP_00935,LDEEJEMD_01223
murD,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,GPLCAFGD_00803,IJGDKHFC_01007,NCOBLFIM_00377,CHHPJEJH_01016,MEHEBMPK_00742,JPHLBIEJ_00395,HBKJMDBP_01069,LDEEJEMD_01045
rapZ,rapZ;,RNase adapter RapZ;RNase adaptor protein RapZ,GPLCAFGD_00665,IJGDKHFC_00863,NCOBLFIM_00002,CHHPJEJH_00658,MEHEBMPK_00607,JPHLBIEJ_00232,HBKJMDBP_00777,LDEEJEMD_01408
group_194,,inositol-3-phosphate synthase,GPLCAFGD_00961,IJGDKHFC_00097,NCOBLFIM_00535,CHHPJEJH_01176,MEHEBMPK_01226,JPHLBIEJ_00566,HBKJMDBP_01261,LDEEJEMD_01468
group_192,,3-ketoacyl-CoA thiolase;acetyl-CoA C-acyltransferase,GPLCAFGD_00130,IJGDKHFC_00718,NCOBLFIM_01004,CHHPJEJH_00429,MEHEBMPK_00390,JPHLBIEJ_00988,HBKJMDBP_00459,LDEEJEMD_00668
group_191,,MFS transporter,GPLCAFGD_00489,IJGDKHFC_00514,NCOBLFIM_01101,CHHPJEJH_00545,MEHEBMPK_01039,JPHLBIEJ_00036,HBKJMDBP_00924,LDEEJEMD_01231
group_187,,ATP-dependent Clp protease proteolytic subunit,GPLCAFGD_00635,IJGDKHFC_01200,NCOBLFIM_01121,CHHPJEJH_00565,MEHEBMPK_00579,JPHLBIEJ_00204,HBKJMDBP_00902,LDEEJEMD_01264
group_186,,amino acid transporter;amino acid permease,GPLCAFGD_01150,IJGDKHFC_00287,NCOBLFIM_00690,CHHPJEJH_00113,MEHEBMPK_00149,JPHLBIEJ_00764,HBKJMDBP_00168,LDEEJEMD_00330
group_182,,xanthine phosphoribosyltransferase,GPLCAFGD_00131,IJGDKHFC_00717,NCOBLFIM_01005,CHHPJEJH_00431,MEHEBMPK_00391,JPHLBIEJ_00989,HBKJMDBP_00460,LDEEJEMD_00667
group_180,,thiamine biosynthesis protein ApbE;FAD:protein FMN transferase,GPLCAFGD_01169,IJGDKHFC_00306,NCOBLFIM_00747,CHHPJEJH_00174,MEHEBMPK_00175,JPHLBIEJ_00790,HBKJMDBP_00204,LDEEJEMD_00301
hpt,hpt,hypoxanthine phosphoribosyltransferase,GPLCAFGD_00831,IJGDKHFC_01036,NCOBLFIM_00411,CHHPJEJH_01052,MEHEBMPK_00771,JPHLBIEJ_00424,HBKJMDBP_01099,LDEEJEMD_00533
group_162,,type IIA DNA topoisomerase subunit B;DNA gyrase subunit B;DNA topoisomerase IV subunit B,GPLCAFGD_00488,IJGDKHFC_00515,NCOBLFIM_01100,CHHPJEJH_00544,MEHEBMPK_01038,JPHLBIEJ_00035,HBKJMDBP_00934,LDEEJEMD_01224
tsaE,tsaE;,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,GPLCAFGD_00695,IJGDKHFC_00893,NCOBLFIM_01186,CHHPJEJH_00630,MEHEBMPK_00636,JPHLBIEJ_00262,HBKJMDBP_00803,LDEEJEMD_01377
nucS,;nucS,endonuclease;endonuclease NucS,GPLCAFGD_01151,IJGDKHFC_00288,NCOBLFIM_00689,CHHPJEJH_00112,MEHEBMPK_00150,JPHLBIEJ_00765,HBKJMDBP_00169,LDEEJEMD_00329
ftsH,;ftsH,AAA family ATPase;ATP-dependent zinc metalloprotease FtsH,GPLCAFGD_00830,IJGDKHFC_01035,NCOBLFIM_00410,CHHPJEJH_01051,MEHEBMPK_00770,JPHLBIEJ_00423,HBKJMDBP_01098,LDEEJEMD_00531
group_149,,ClC family H(+)/Cl(-) exchange transporter,GPLCAFGD_01134,IJGDKHFC_00271,NCOBLFIM_00706,CHHPJEJH_00129,MEHEBMPK_00133,JPHLBIEJ_00748,HBKJMDBP_00152,LDEEJEMD_00347
group_145,,hypothetical protein,GPLCAFGD_01053,IJGDKHFC_00189,NCOBLFIM_00629,CHHPJEJH_00055,MEHEBMPK_00049,JPHLBIEJ_00663,HBKJMDBP_00062,LDEEJEMD_00452
crgA,crgA;,cell division protein CrgA;septation inhibitor protein,GPLCAFGD_01052,IJGDKHFC_00188,NCOBLFIM_00628,CHHPJEJH_00054,MEHEBMPK_00048,JPHLBIEJ_00662,HBKJMDBP_00061,LDEEJEMD_00453
rnc~~~rpmF,rnc;;rpmF,ribonuclease III;50S ribosomal protein L32,GPLCAFGD_00106;GPLCAFGD_00105,IJGDKHFC_00743;IJGDKHFC_00742,NCOBLFIM_00978,CHHPJEJH_00403;CHHPJEJH_00402,MEHEBMPK_00366;MEHEBMPK_00367,JPHLBIEJ_00965;JPHLBIEJ_00964,HBKJMDBP_00437;HBKJMDBP_00438,LDEEJEMD_00701
tsaD,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,GPLCAFGD_00692,IJGDKHFC_00890,NCOBLFIM_01189,CHHPJEJH_00633,MEHEBMPK_00633,JPHLBIEJ_00259,HBKJMDBP_00800,LDEEJEMD_01380
group_139,,hypothetical protein;DNA-binding protein,GPLCAFGD_00104,IJGDKHFC_00744,NCOBLFIM_00976,CHHPJEJH_00401,MEHEBMPK_00365,JPHLBIEJ_00963,HBKJMDBP_00436,LDEEJEMD_00703
coaD,coaD;,pantetheine-phosphate adenylyltransferase,GPLCAFGD_00102,IJGDKHFC_00746,NCOBLFIM_00974,CHHPJEJH_00399,MEHEBMPK_00363,JPHLBIEJ_00961,HBKJMDBP_00434,LDEEJEMD_00705
group_136,,hypothetical protein,GPLCAFGD_00101,IJGDKHFC_00747,NCOBLFIM_00973,CHHPJEJH_00398,MEHEBMPK_00362,JPHLBIEJ_00960,HBKJMDBP_00432,LDEEJEMD_00707
group_135,,tRNA (adenine-N1)-methyltransferase;methyltransferase,GPLCAFGD_00691,IJGDKHFC_00889,NCOBLFIM_01190,CHHPJEJH_00634,MEHEBMPK_00632,JPHLBIEJ_00258,HBKJMDBP_00799,LDEEJEMD_01381
group_133,,nicotinate phosphoribosyltransferase,GPLCAFGD_00100,IJGDKHFC_00748,NCOBLFIM_00972,CHHPJEJH_00397,MEHEBMPK_00361,JPHLBIEJ_00959,HBKJMDBP_00433,7_refound_117_stop
cysS,cysS;,cysteine--tRNA ligase;hypothetical protein,GPLCAFGD_00099,IJGDKHFC_00749,NCOBLFIM_00971,CHHPJEJH_00396,MEHEBMPK_00360,JPHLBIEJ_00958,HBKJMDBP_00431,LDEEJEMD_00709;LDEEJEMD_00708
group_132,,histidine phosphatase family protein;phosphoglycerate mutase,GPLCAFGD_00690,IJGDKHFC_00888,NCOBLFIM_01191,CHHPJEJH_00635,MEHEBMPK_00631,JPHLBIEJ_00257,HBKJMDBP_00798,LDEEJEMD_01382
metE,metE;,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,GPLCAFGD_00689,IJGDKHFC_00887,NCOBLFIM_01192,CHHPJEJH_00636,MEHEBMPK_00630,JPHLBIEJ_00256,HBKJMDBP_00797,LDEEJEMD_01384
group_131,,FTR1 family iron permease;hypothetical protein;iron permease;FTR1 family protein,GPLCAFGD_01170,IJGDKHFC_00307,NCOBLFIM_00748,CHHPJEJH_00175,MEHEBMPK_00193,JPHLBIEJ_00794,HBKJMDBP_00212,LDEEJEMD_00288;LDEEJEMD_00289
ffh,ffh;,signal recognition particle protein,GPLCAFGD_00098,IJGDKHFC_00750,NCOBLFIM_00970,CHHPJEJH_00395,MEHEBMPK_00359,JPHLBIEJ_00957,HBKJMDBP_00430,LDEEJEMD_00710
metF,metF,methylenetetrahydrofolate reductase [NAD(P)H],GPLCAFGD_00688,IJGDKHFC_00886,NCOBLFIM_01193,CHHPJEJH_00637,MEHEBMPK_00629,JPHLBIEJ_00255,HBKJMDBP_00796,LDEEJEMD_01385
group_129,,anchored repeat ABC transporter substrate-binding protein,GPLCAFGD_00923,IJGDKHFC_00059,NCOBLFIM_00498,CHHPJEJH_01133,MEHEBMPK_01093,JPHLBIEJ_00530,HBKJMDBP_01225,LDEEJEMD_01553
group_126,,ABC transporter ATP-binding protein,GPLCAFGD_00432,IJGDKHFC_00565,NCOBLFIM_01147,CHHPJEJH_00591,MEHEBMPK_00988,JPHLBIEJ_01276,HBKJMDBP_00844,LDEEJEMD_01327
group_124,,iron transporter;amino acid ABC transporter substrate-binding protein,GPLCAFGD_01171,IJGDKHFC_00308,NCOBLFIM_00749,CHHPJEJH_00176,MEHEBMPK_00194,JPHLBIEJ_00795,HBKJMDBP_00213,LDEEJEMD_00287
group_123,,hypothetical protein,GPLCAFGD_01172,IJGDKHFC_00309,NCOBLFIM_00750,CHHPJEJH_00177,MEHEBMPK_00195,JPHLBIEJ_00796,HBKJMDBP_00214,LDEEJEMD_00286
group_122,,RNA-binding protein,GPLCAFGD_00095,IJGDKHFC_00753,NCOBLFIM_00967,CHHPJEJH_00392,MEHEBMPK_00356,JPHLBIEJ_00954,HBKJMDBP_00427,LDEEJEMD_00714
rpsP,rpsP;,30S ribosomal protein S16,GPLCAFGD_00096,IJGDKHFC_00752,NCOBLFIM_00968,CHHPJEJH_00393,MEHEBMPK_00357,JPHLBIEJ_00955,HBKJMDBP_00428,LDEEJEMD_00713
group_121,,anchored repeat-type ABC transporter ATP-binding subunit,GPLCAFGD_00922,IJGDKHFC_00058,NCOBLFIM_00497,CHHPJEJH_01132,MEHEBMPK_01094,JPHLBIEJ_00529,HBKJMDBP_01224,LDEEJEMD_01554
group_120,,anchored repeat-type ABC transporter permease subunit,GPLCAFGD_00921,IJGDKHFC_00057,NCOBLFIM_00496,CHHPJEJH_01131,MEHEBMPK_01095,JPHLBIEJ_00528,HBKJMDBP_01223,LDEEJEMD_01555
group_118,,bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase;hypothetical protein;bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase,GPLCAFGD_00686,IJGDKHFC_00884,NCOBLFIM_01194,CHHPJEJH_00638,MEHEBMPK_00626,JPHLBIEJ_00252,HBKJMDBP_00795,LDEEJEMD_01386;LDEEJEMD_01387
group_116,,FtsX-like permease family protein;multidrug DMT transporter permease,GPLCAFGD_00433,IJGDKHFC_00564,NCOBLFIM_01148,CHHPJEJH_00592,MEHEBMPK_00989,JPHLBIEJ_01277,HBKJMDBP_00843,LDEEJEMD_01329
group_114,,ABC transporter permease,GPLCAFGD_01173,IJGDKHFC_00310,NCOBLFIM_00751,CHHPJEJH_00178,MEHEBMPK_00196,JPHLBIEJ_00797,HBKJMDBP_00215,LDEEJEMD_00285
pyrB,pyrB,aspartate carbamoyltransferase,GPLCAFGD_00683,IJGDKHFC_00881,NCOBLFIM_01195,CHHPJEJH_00640,MEHEBMPK_00624,JPHLBIEJ_00249,HBKJMDBP_00794,LDEEJEMD_01388
group_103,,response regulator transcription factor;DNA-binding response regulator,GPLCAFGD_00435,IJGDKHFC_00562,NCOBLFIM_01149,CHHPJEJH_00593,MEHEBMPK_00991,JPHLBIEJ_01279,HBKJMDBP_00841,LDEEJEMD_01331
group_102,,sensor histidine kinase;histidine kinase,GPLCAFGD_00436,IJGDKHFC_00561,NCOBLFIM_01150,CHHPJEJH_00594,MEHEBMPK_00992,JPHLBIEJ_01280,HBKJMDBP_00840,LDEEJEMD_01332
group_98,,ABC transporter ATP-binding protein,GPLCAFGD_01175,IJGDKHFC_00312,NCOBLFIM_00753,CHHPJEJH_00180,MEHEBMPK_00198,JPHLBIEJ_00799,HBKJMDBP_00217,LDEEJEMD_00282
group_97,,FMN-binding protein,GPLCAFGD_01176,IJGDKHFC_00313,NCOBLFIM_00754,CHHPJEJH_00181,MEHEBMPK_00199,JPHLBIEJ_00800,HBKJMDBP_00218,LDEEJEMD_00281
group_94,,ABC transporter permease,GPLCAFGD_00240,IJGDKHFC_01128,NCOBLFIM_01024,CHHPJEJH_00450,MEHEBMPK_00851,JPHLBIEJ_01114,HBKJMDBP_00479,LDEEJEMD_00648
group_93,,co-chaperone YbbN;tetratricopeptide repeat protein,GPLCAFGD_01155,IJGDKHFC_00292,NCOBLFIM_00735,CHHPJEJH_00159,MEHEBMPK_00154,JPHLBIEJ_00769,HBKJMDBP_00173,LDEEJEMD_00326
group_92,,hypothetical protein,GPLCAFGD_01154,IJGDKHFC_00291,NCOBLFIM_00734,CHHPJEJH_00158,MEHEBMPK_00153,JPHLBIEJ_00768,HBKJMDBP_00172,LDEEJEMD_00327
rimM,rimM;,ribosome maturation factor RimM;16S rRNA processing protein RimM,GPLCAFGD_00094,IJGDKHFC_00754,NCOBLFIM_00966,CHHPJEJH_00391,MEHEBMPK_00355,JPHLBIEJ_00953,HBKJMDBP_00426,LDEEJEMD_00715
group_91,,lysophospholipid acyltransferase family protein;1-acyl-sn-glycerol-3-phosphate acyltransferase,GPLCAFGD_00920,IJGDKHFC_00056,NCOBLFIM_00495,CHHPJEJH_01130,MEHEBMPK_01096,JPHLBIEJ_00527,HBKJMDBP_01222,LDEEJEMD_01556
group_90,,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase;glycerol-3-phosphate acyltransferase;NAD(P)-dependent glycerol-3-phosphate dehydrogenase,GPLCAFGD_00919,IJGDKHFC_00055,NCOBLFIM_00494,CHHPJEJH_01129,MEHEBMPK_01097,JPHLBIEJ_00526,HBKJMDBP_01221,LDEEJEMD_01557
group_84,,sodium:proton antiporter;SLC13 family permease,GPLCAFGD_00355,IJGDKHFC_00641,NCOBLFIM_00234,CHHPJEJH_00892,MEHEBMPK_00904,JPHLBIEJ_01192,HBKJMDBP_00536,LDEEJEMD_00747
group_81,,ABC transporter permease,GPLCAFGD_00241,IJGDKHFC_01127,NCOBLFIM_01025,CHHPJEJH_00451,MEHEBMPK_00852,JPHLBIEJ_01115,HBKJMDBP_00480,LDEEJEMD_00647
group_80,,diguanylate cyclase;ABC transporter ATP-binding protein,GPLCAFGD_00242,IJGDKHFC_01126,NCOBLFIM_01026,CHHPJEJH_00452,MEHEBMPK_00853,JPHLBIEJ_01116,HBKJMDBP_00481,LDEEJEMD_00646
group_77,,DivIVA domain-containing protein;ATPase;dihydrouridine synthase;hypothetical protein,GPLCAFGD_00816,IJGDKHFC_01020,NCOBLFIM_00339,CHHPJEJH_00976,MEHEBMPK_00755,JPHLBIEJ_00408,HBKJMDBP_01023,LDEEJEMD_01109;LDEEJEMD_01108
group_76,,cysteine desulfurase;SufS family cysteine desulfurase,GPLCAFGD_00151,IJGDKHFC_00697,NCOBLFIM_00327,CHHPJEJH_00964,MEHEBMPK_00411,JPHLBIEJ_01009,HBKJMDBP_01011,LDEEJEMD_01122
group_74,,adenylosuccinate synthase,GPLCAFGD_01131,IJGDKHFC_00268,NCOBLFIM_00709,CHHPJEJH_00132,MEHEBMPK_00130,JPHLBIEJ_00745,HBKJMDBP_00149,LDEEJEMD_00350
pyrC,;pyrC,dihydroorotase,GPLCAFGD_00682,IJGDKHFC_00880,NCOBLFIM_01196,CHHPJEJH_00641,MEHEBMPK_00623,JPHLBIEJ_00248,HBKJMDBP_00793,LDEEJEMD_01389
